Class,Accuracy,Precision,Recall,F1 Score

1,0.5241416794999547,0.9825097639667176,0.9582643259357403,0.9702355998993879
2,0.020744632666002356,0.966,0.7483660130718954,0.8237410071942446
3,0.097995733309176555,0.9338005644402634,0.8393162393162393,0.8795342588446037
4,0.037085786756046743,0.934375,0.8641618497109826,0.897897897897898
5,0.021378748075006795,0.9915966386554622,0.963265306122449,0.9772256728778468
6,0.028172841742911497,0.9424242424242424,0.8687150837988827,0.9040697674418604
7,0.02935048464534831,0.9878048780487805,0.9337175792507204,0.96
8,0.03614457831325301,0.8788546255506607,0.6694630872483222,0.76
9,0.019114050185705226,0.9723502304147466,0.8053435114503816,0.8810020876826722
10,0.04527402844460549,0.8942307692307693,0.788135593220339,0.8378378378378378
11,0.03313524775794909,0.9666666666666667,0.8841463414634146,0.9235668789808917
12,0.0,0.0,0,0
13,9.058791557206268e-05,0.021739130434782608,0.006622516556291391,0.010152284263959392
14,0.0,0.0,0.0,0
15,0.030870549868647523,0.05084745762711865,0.024691358024691357,0.0332409972299169
16,0.07435274934323762,0.015748031496062992,0.022222222222222223,0.018433179723502304
17,0.0024458737204456926,0.072,0.0675,0.0696774193548387
18,0.0006341154090044388,0.026217228464419477,0.0170316301703163,0.02064896755162242
19,0.06341154090044388,0.051470588235294115,0.025362318840579712,0.03398058252427184
20,0.0007247033245765015,0.04790419161676647,0.057971014492753624,0.05245901639344263
21,0.00018117583114412537,0.009900990099009901,0.012048192771084338,0.010869565217391306
22,0.0,0.0,0.0,0
23,0.0,0.0,0.0,0
24,0.01177642902436815,0.050387596899224806,0.07428571428571429,0.06004618937644342
25,0.0,0.0,0.0,0
26,0.0,0.0,0,0
27,0.09058791557206269,0.24752475247524752,0.20040080160320642,0.221483942414175
28,0.006341154090044388,0.023972602739726026,0.019498607242339833,0.021505376344086023
29,0.0,0.0,0,0
30,0.0,0.0,0,0
31,0.02717637467161881,0.012552301255230125,0.0045045045045045045,0.0066298342541436465
32,0.0,0.0,0.0,0
33,0.028117583114412537,0.006269592476489028,0.008368200836820083,0.007168458781362006
34,9.058791557206268e-05,0.004464285714285714,0.004761904761904762,0.004608294930875576
35,0.0,0.0,0.0,0
36,0.0,0.0,0.0,0
37,9.058791557206268e-05,0.0031446540880503146,0.0025,0.0027855153203342623
38,0.0005435274934323762,0.020134228187919462,0.02608695652173913,0.022727272727272724
39,0.0,0.0,0.0,0
40,9.058791557206268e-05,0.00141643059490085,0.004166666666666667,0.0021141649048625794
41,0.0,0.0,0.0,0
42,0.0,0.0,0.0,0
43,0.0,0.0,0.0,0
44,0.07699972823625329,0.2982456140350877,0.10638297872340426,0.15682656826568267
45,0.0,0.0,0,0
46,0.004167044116314884,0.08185053380782918,0.22115384615384615,0.11948051948051946
47,0.0016305824802971285,0.09424083769633508,0.020833333333333332,0.034123222748815164
48,0.0005435274934323762,0.04411764705882353,0.017857142857142856,0.02542372881355932
49,0.003804692454026633,0.22950819672131148,0.10824742268041238,0.1471103327495622
50,0.07435274934323762,0.043478260869565216,0.018461538461538463,0.025917926565874733
51,0.004982335356463447,0.3235294117647059,0.08500772797527048,0.13463892288861687
52,0.058117583114412537,0.015748031496062992,0.009216589861751152,0.011627906976744186
53,9.058791557206268e-05,0.009708737864077669,0.005917159763313609,0.007352941176470588
54,0.08152912401485642,0.028391167192429023,0.04186046511627907,0.03383458646616541
55,0.038117583114412537,0.013986013986013986,0.012121212121212121,0.012987012987012988
56,0.0,0.0,0.0,0
57,0.045293957786031344,0.005149330587023687,0.033112582781456956,0.008912655971479501
58,0.0,0.0,0.0,0
59,0.0005435274934323762,0.017341040462427744,0.0189873417721519,0.01812688821752266
60,0.0,0.0,0.0,0
61,0.015309357731678594,0.1780821917808219,0.06353383458646616,0.2781893004115226
62,0.045293957786031344,0.01718213058419244,0.004389815627743635,0.006993006993006994
63,0.08515264063773892,0.2561307901907357,0.24352331606217617,0.24966799468791503
64,0.016305824802971285,0.0627177700348432,0.04603580562659847,0.05309734513274336
65,0.06341154090044388,0.050724637681159424,0.02046783625730994,0.029166666666666667
66,0.0,0.0,0,0
67,0.09058791557206269,0.06134969325153374,0.009259259259259259,0.016090104585679808
68,0.0,0.0,0,0
69,0.0,0.0,0,0
70,0.05227078665,0.0026595744680851063,0.0015408320493066256,0.001951219512195122
71,0.0,0.0,0,0
72,0.0006341154090044388,0.02064896755162242,0.017543859649122806,0.018970189701897018
73,0.07247033245765015,0.043478260869565216,0.024922118380062305,0.031683168316831684
74,0.004891747440891385,0.15254237288135594,0.32926829268292684,0.20849420849420852
75,0.045293957786031344,0.013297872340425532,0.017482517482517484,0.015105740181268881
76,0.045293957786031344,0.018115942028985508,0.026595744680851064,0.021551724137931032
77,0.018117583114412537,0.03225806451612903,0.04705882352941176,0.08213552361396302
78,0.078791557206268,0.005208333333333333,0.008849557522123894,0.006557377049180329
79,0.0,0.0,0.0,0
80,0.0,0.0,0.0,0
